date,natal_planet,transiting_planet,aspect,orb,natal_longitude,transit_longitude
2024-02-22,Sun,Neptune,Quintile,0.96,283.5142,356.4695456188398
2024-02-22,Moon,Sun,Semi-Sextile,1.2,4.5532,333.35012693906094
2024-02-22,Moon,Venus,Sextile,2.66,4.5532,307.21161581250317
2024-02-22,Moon,Mars,Sextile,2.57,4.5532,307.1193049160598
2024-02-22,Moon,Uranus,Semi-Square,0.17,4.5532,49.38797028390127
2024-02-22,Mercury,Sun,Semi-Sextile,0.56,302.7943,333.35012693906094
2024-02-22,Mercury,Pluto,Conjunction,1.78,302.7943,301.0105304992371
2024-02-22,Venus,Mercury,Conjunction,1.7,330.2555,328.5514371590894
2024-02-22,Venus,Pluto,Semi-Sextile,0.76,330.2555,301.0105304992371
2024-02-22,Mars,Sun,Sextile,2.25,275.6008,333.35012693906094
2024-02-22,Mars,Moon,Bi-Quintile,0.35,275.6008,131.2508457171725
2024-02-22,Mars,Venus,Semi-Sextile,1.61,275.6008,307.21161581250317
2024-02-22,Mars,Uranus,Sesquiquadrate,1.21,275.6008,49.38797028390127
2024-02-22,Jupiter,Mercury,Semi-Sextile,1.01,299.5608,328.5514371590894
2024-02-22,Jupiter,Pluto,Conjunction,1.45,299.5608,301.0105304992371
2024-02-22,Saturn,Venus,Sesquiquadrate,0.45,171.7586,307.21161581250317
2024-02-22,Saturn,Mars,Sesquiquadrate,0.36,171.7586,307.1193049160598
2024-02-22,Saturn,Uranus,Trine,2.37,171.7586,49.38797028390127
2024-02-22,Pluto,Sun,Sextile,1.99,271.3559,333.35012693906094
2024-02-22,Pluto,Mercury,Sextile,2.8,271.3559,328.5514371590894
2024-02-22,North Node (Mean),Moon,Opposition,0.43,310.8165,131.2508457171725
2024-02-22,North Node (Mean),Jupiter,Square,0.73,310.8165,40.08923890337386
2024-02-22,North Node (Mean),Saturn,Semi-Sextile,1.82,310.8165,338.9981422959774
2024-02-22,North Node (Mean),Neptune,Semi-Square,0.65,310.8165,356.4695456188398
2024-02-23,Sun,Mercury,Semi-Square,1.82,283.5142,330.3374582784357
2024-02-23,Sun,Neptune,Quintile,0.99,283.5142,356.505098665546
2024-02-23,Moon,Sun,Semi-Sextile,0.2,4.5532,334.3568685512702
2024-02-23,Moon,Uranus,Semi-Square,0.14,4.5532,49.410920967657454
2024-02-23,Mercury,Sun,Semi-Sextile,1.56,302.7943,334.3568685512702
2024-02-23,Mercury,Pluto,Conjunction,1.76,302.7943,301.0387945528723
2024-02-23,Venus,Mercury,Conjunction,0.08,330.2555,330.3374582784357
2024-02-23,Venus,Pluto,Semi-Sextile,0.78,330.2555,301.0387945528723
2024-02-23,Mars,Sun,Sextile,1.24,275.6008,334.3568685512702
2024-02-23,Mars,Uranus,Sesquiquadrate,1.19,275.6008,49.410920967657454
2024-02-23,Jupiter,Mercury,Semi-Sextile,0.78,299.5608,330.3374582784357
